category,question,answer
credit card no cost emi,how is credit card no cost emi different from credit card emi payment mode,for credit card emi you are charged a nonrefundable interest based on the tenure of your emi plan whereas with credit card no cost emi although interest is charged you get an instant discount from the seller for the amount you pay as interest to the bank
credit card no cost emi,i chose the wrong emi plan while making the payment using credit card no cost emi option can i change it now,no however in case your order hasnt been delivered yet you can cancel it and place a new order by selecting your preferred emi planorders for certain items cannot be cancelled after 24 hours of order placement please check the sellers cancellation policy on the product page for details
credit card no cost emi,my payment using the credit card no cost emi payment mode did not go through but the amount has been blocked on my card what should i do,in case the amount was deducted from your card but the payment was unsuccessful the blocked card limit will be reinstated by the bank within 57 business days please get in touch with your card issuing bank if the amount is not credited within this time period
credit card no cost emi,what are the emi plans available if i pay using the credit card no cost emi payment mode,the emi plans vary based on your card issuing bank visit payments  emi  no cost emi to see available plans
credit card no cost emi,what is credit card no cost emi,credit card no cost emi is a payment mode with which you can shop for items from select sellers on flipkart with no interest  zero down payment with this payment mode you get an instant cashback from the seller for the amount you are charged by the bank as interest
credit card no cost emi,what is no cost emi and how can i avail it,no cost emi is a payment option available for bajaj finserv emi card holders and can be availed for purchases on flipkart for select items with some of the sellers to avail the option proceed to pay for your order as usual and choose the option bajaj finserv no cost emi for payment then select the emi plan of your choice out of the available options and complete your payment
credit card no cost emi,what is the credit limit on the credit card no cost emi card for shopping on flipkart,the credit limit depends on the respective card please get in touch with your card issuing bank for more details
credit card no cost emi,why cant i see credit card no cost emi as a payment mode for some items,credit card no cost emi payment mode is only available for certain items from select sellers please check the product page for availability
credit card no cost emi,is credit card no cost emi payment mode available on flipkarts windows and ios apps,yes credit card no cost emi payment mode is available on our windows ios and android apps
credit card no cost emi,will i get a complete refund if the item is cancelled or returned if i have paid for the order using the credit card no cost emi payment option,yes you will get a complete refund to the extent of the emis paid if any in case the order is cancelled or returnedhowever banks may charge some cancellationrefund or preclosure charges please check with your respective bank for their policy for cancellations refunds and preclosuresorders for certain items cannot be cancelled after 24 hours of order placement or returned once delivered please check the sellers cancellations  returns policy on the product page for details
flipkart axis bank credit card,i have an axis bank buzz credit card can i still apply for the flipkart axis bank credit card,yes if you are an axis bank buzz credit cardholder you are eligible to apply for the flipkart axis bank credit card you can apply for the card by visiting our home page and clicking on the apply now option on the banner
flipkart axis bank credit card,what will happen to my axis bank buzz credit card if i apply for the flipkart axis bank credit card,your axis bank buzz credit card will be deactivated within 45 days
flipkart axis bank credit card,what are the documents required to complete this application,currently there are no documents needed during the application process however you may be required to submit a set of officially valid documents in case the bank requests for it 
flipkart axis bank credit card,can i resume an incomplete application,yes you can resume filling an incomplete application within 4 hours of initiation by clicking on the resume application button available on the banner on our homepage if you are trying to resume the application after four hours then you will have to restart the application process from the beginning
flipkart axis bank credit card,how can i track my application status from my flipkart account,the application status will be immediately communicated to you once the application process is completed you can also view the details by visiting the my account section of your flipkart account and clicking on flipkart axis bank credit card section 1 the application status is immediately communicated to you on the app after the application process is completed youll also get an sms  email from axis bank as soon as the application is processed
flipkart axis bank credit card,is there any annual fee,yes theres an annual fee of rs 500 applicable on the card the annual fee will be waived off if you spend rs 2 lakh with the card within a year
flipkart axis bank credit card,what can i purchase using flipkart axis bank credit card,you can use this credit card for all your purchases both on and off flipkart
flipkart axis bank credit card,will i earn cashback if i have used someone elses flipkart axis bank credit card,please note that the cashback will be credited to the account of the card used
flipkart axis bank credit card,how can i use the earnings,all cashback is credited as cash to your credit card account which can be used for your future purchases three days before the statement for the next month is generated
flipkart axis bank credit card,can i transfer ownership of my flipkart axis bank credit card,no ownership of the credit card cannot be transferred
flipkart axis bank credit card,what will happen to the cashback if i return a product,if you return a product within the same credit card billing cycle in which the purchase was made applicable cashback will be debited in the same cycle otherwise it will be adjusted in the next billing cycle
flipkart axis bank credit card,how will i get the pin for the card,you can get the pin for the card by visiting this link httpswwwaxisbankcomretailcardscreditcardusefullinkscreditcardauthentication
flipkart axis bank credit card,i did not get the correct cashback as per my transactions on flipkart what should i do,to know more about cashback please reach out to axis bank customer support at 1860 419 5555
flipkart axis bank credit card,i want to know the cvv number on the card,the virtual card and cvv are available in the flipkart axis bank credit card section under my accounts section of the app once the physical card is delivered to you the cvv number is available behind your card disclaimer please do not disclose your pin or cvv to anyone in case your card is misused bank or flipkart wont be responsible for any unauthorised transactions that may have happened due to the disclosure
flipkart axis bank credit card,how can i pay the outstanding bill,to know about payment options please reach out to axis bank customer support at 1860 419 5555
flipkart axis bank credit card,will the card number and cvv remain the same for both the physical and the virtual card,yes it will remain the same
flipkart axis bank credit card,when will i get the physical card,the physical credit card will be delivered to your registered address with axis bank within 7 to 10 business days of application approval
flipkart axis bank credit card,what are the key benefits of flipkart axis bank credit card,some of the benefits of flipkart axis bank credit card are 5 cashback for spends on flipkart myntra 2gud 4 cashback for spends on preferred partners makemytripgoibibo uber pvr curefit urbanclap 15 cashback for spends on all other merchants no cost emi applicable for purchases on flipkart for all tenures four complimentary domestic lounge access visits 1 fuel surcharge waiver upto rs 500 per monthwelcome benefits flipkart gift card of rs 500 as an activation benefit for transacting with the card anywhere for any amount 15 cashback upto rs 500 on myntra rs 500 off on domestic hotels via makemytrip rs 500 off on domestic hotels on goibibo benefits of upto rs 900 unlimited access to 6 months of gaana plus membership 50 off for the next 6 months 20 off upto rs 400 on urbanclapplease click here for terms and conditions
flipkart axis bank credit card,how can i apply for flipkart axis bank credit card am i eligible for the card,you can apply for the flipkart axis bank credit card by visiting the flipkart home page and clicking on apply now on the banner or by going to the flipkart axis bank credit card section under my account alternatively you can apply for the card through axis banks channels such as by visiting any of their branches tablet sourcing axis bank mobile banking app etc
flipkart axis bank credit card,what is flipkart axis bank credit card,flipkart axis bank credit card is a credit card issued by axis bank in association with flipkart internet pvt ltd flipkart and mastercard every purchase that you make on flipkartcom and outside flipkartcom will earn you unlimited cashback that will be credited to your credit card account you can use these cashback for your future purchasesplease note that a joiningannual fee of rs 500 is applicable unless it is acquired under the first year free offer
shopping,why do i see different prices for the same product,you could see different prices for the same product as it could be listed by many sellers
shopping,is installation offered for all products ,installation and demo are offered for certain items by sellers through the brand or an authorised service provider please check the individual product page to see if these services are offered for the item
shopping,is it necessary to have an account to shop on flipkart,yes its necessary to log into your flipkart account to shop shopping as a loggedin user is fast  convenient and also provides extra securityyoull have access to a personalised shopping experience including recommendations and quicker checkout
shopping,what does preorder or forthcoming mean,items marked as preorder or forthcoming are expected to be released soon and you can prebook them with sellers such items will be shipped after their official release by the seller with whom youve prebooked them
shopping,do sellers on flipkart ship internationally,currently sellers on flipkart only ship within india
shopping,can i use an item that has been given to me as a gift from a state sponsored or an ngofunded freebie distribution programme to get discounts through exchange offers,no as per company policy such items are not eligible for discounts under exchange offers you can also refer to the exchange offers section in the terms of use page for more details
shopping,will i get a wall mount for my television in the box,if mentioned in the sales package the wall mount for your television will be in the box however in some cases the wall mount if applicable for the model will be with the installation team
shopping,can i order a product that is out of stock or temporarily unavailable,the products listed as out of stock or temporarily unavailable are not available for sale please use the notify me feature to be informed of the products availability with sellers on flipkart
shopping,what does out of stock mean,an item is marked as out of stock when it is not available with any sellers at the moment you wont be able to buy it now use notify me feature to know once its available with sellers for purchase
shopping,what does permanently discontinued or out of print mean,an item is marked as out of stock when it is not available with any sellers at the moment you wont be able to buy it now use notify me feature to know once its available with sellers for purchase
shopping,what is flipkart buyer protection,flipkart buyer protection helps shoppers in case they have concerns with products bought and havent got a satisfactory solution from the seller under this program we look into your concern on a casebycase basis  do our best to be fair to both parties flipkarts decision on the resolution will be final for the concern raised
shopping,how does instant cashback work,instant cashback is applied directly to the product or order value in your cart and you do not have to wait for the cashback to be credited to your bank accountcredit or debit card at a later date
shopping,are there any hidden charges octroi or sales tax when i shop on flipkart,there are no hidden charges when you shop on flipkart the price you see on the product page is final and its exactly what you paynote there can be additional delivery charges based on the sellers policy
shopping,why do i see different prices for books with the same title,you can find various editions of books with the same title on flipkart  from paperbacks or hardcovers to collectors editions some of them are republishedprinted within india while some editions are imported the price of the titles varies based on this and the seller offering itall other available editions and their prices for a particular title are mentioned on the respective product page under other editions 
shopping,can i club my orders from different sellers to be delivered together,currently there is no option to club orders from different sellers to be delivered together as sellers could be located in different locations and the delivery timelines would vary based on their partnered courier service providers to ensure your items reach you at the earliest each seller ships their products as per their individual timelines
shopping,why do i see a delivery charge,it usually costs sellers more to ship some items so sometimes they choose to add a delivery charge the delivery charge is waived off by some sellers if you shop with them for a certain amount for more information check the individual sellers policy on the product page
shopping,is flipkart advantage the same as plus,no while flipkart advantage was the tag for all items listed by sellers who used our partner warehouse services the plus badge is only given to select items based on certain criteria such as product quality and delivery timeline
shopping,do i have to pay extra for items with the plus badge,no you can shop for items with the plus badge at no extra charge
shopping,is there a filter available through which i can only see items with a plus badge,yes there is a filter available through which you can shop only for items with the plus badge
shopping,what are the benefits of buying an item with a plus badge,items with the plus badge are extensively quality checked from storage to transit safe packaging and also comes along with fast  free delivery from our best sellersfree shipping for orders above rs 500
shopping,what does the badge plus mean,the plus badge is a seal of quality and speed products with this badge meet our extensive quality  packaging guidelines along with having faster delivery timelineswith stringent seller  product selection combined with fast  free delivery plus guarantees you a superior and hasslefree shopping experience every timefree shipping for orders above 500
shopping,why do i see a shipping charge for an item with the plus badge,sellers may charge a nominal fee for shipping even for products with the plus badge if the order is less than  500shipping is free for items with the plus badge if the order value is more than  500
wallet,what can i do if the balance in my wallet is not enough to pay for my order,you can pay part of the amount through your wallet and the remaining through any other prepaid payment modes like creditdebit cards and flipkart gift cardsplease note that wallet cannot be combined with cashcard on delivery cod payment mode for now and bank offers will not applicable for partial payments from the wallet
phonepe,can i choose phonepe wallet as a refund option,yes you can choose to have the amount refunded to your phonepe wallet provided the balance does not exceed 20000
phonepe,do i need to install the phonepe app to use the wallet option on my flipkart account,no you will be able to use the wallet option on your flipkart account for payments without installing the phonepe appyou can choose to install the phonepe app to access other payment features
phonepe,how long will it take for a refund from flipkart to my phonepe wallet,refund to your phonepe wallet is instant and will be credited to your wallet as soon as the pickup or a cancellation is confirmed by the sellers or courier service providers
phonepe,i had some amount in the flipkart money section and would like to transfer it to my bank will i need to install the phonepe add to do this,you can easily transfer the amount to your account from the flipkart app or websiteyou would not have to install the phonepe app to transfer money from your phonepe wallet to your bank account
phonepe,if my refund amount exceeds 20000 will i get the option for phonepe upi linked account and other registered account for neft or imps,you can easily transfer the amount to your account from the flipkart app or website you would not have to install the phonepe app to transfer money from your phonepe wallet to your bank account
phonepe,will i have to use the same contact number to create a phonepe account as the one linked to my flipkart account,no you dont have to use the same contact number
phonepe,is it necessary to register with phonepe to use it on flipkart,no its not necessary to register with phonepe to pay from your wallet registration will be necessary if you want to pay directly from your bank account by linking it to the phonepe app
phonepe,is phonepe wallet available on flipkarts windows and ios apps too,yes phonepe wallet is available on our windows and ios apps too
phonepe,my phonepe wallet is not activated how do i get a refund credited to it,to get a refund into your phonepe wallet please activate it from your flipkart account by selecting wallet and clicking on the activate phonepe option
shipping,why are faster delivery options not available at my location,faster delivery options may not be available at your location due to courier related reasons but were trying to expand our services to include more places stay tuned for updates
shipping,why cant i get some items shipped to my location,some sellers prefer not to ship to certain locations due to the cost involved and this is entirely at their discretion you can check with your pincode on the product page to see any other sellers ship to your location
shipping,are faster delivery options like same day  inaday available on return requests,no however we try our best to have your items picked up by our courier service providers  get you the replacement as soon as possible 
shipping,what are the standard shipping speeds and delivery charges,standard shipping speeds and delivery charges for fassured flipkart assured and non fassured items vary based on the destination pincode entered  orders with items that are fassured worth rs 500 or more will qualify for free delivery else a delivery charge of rs 40 will be applicableall grocery fsupermart orders worth rs 1200 or more are eligible for free deliveryyou can check if an fassured item can be delivered to your location by entering a delivery pincode on the product page this widget is placed next to the section delivery and hitting enter available shipping speeds and delivery charges as per your location will be displayedfor certain items you can choose the delivery speed accordingly in order summary page while placing the orderfor grocery orders you can choose from the following delivery slots1 700 am to 930 am2 930 am to 1200 pm3 500 pm to 730 pm4 730 pm to 100 pmstandard shipping speeds and delivery charges for non fassured itemsdelivery charges and shipping timelines may vary based on seller delivery timeline is displayed on the product page you can choose a delivery pincode on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges
shipping,why didnt my order qualify for free delivery,your order qualifies for free delivery if you order fassured products worth rs 500 and above if your order value for fassured products is less than rs 500 a delivery fee of rs 40 will be chargedfor products that are nonfassured delivery charges if any will be decided by the sellers and will vary please click on view sellers under the seller rating on the product page for information about sellers selling any particular product and their respective delivery charges
shipping,why am i unable to order products like television airconditioner refrigerator washing machine furniture microwave treadmill etc at my location,the delivery of large category products at a particular location depends on the following factorsdimensions and weight location of the sellerserviceability of the sellers partnered service provider always ensure to update your preferred delivery locationaddress to verify if the seller is offering the product or deal at your location
shipping,how do i contact sellers partnered courier service providers,here are the contact details of some of the leading courier service providersekart  wwwekartlogisticscomgati  wwwgaticomdelhivery  wwwdelhiverycomblue dart  wwwbluedarttrackingsinecom  wwwecomexpressindotzot  wwwdotzotinspeed post  india post  wwwindiapostgovin
flipkart first,how can i buy using a gift card,its simple when youre prompted to choose a payment method for your order choose gift card as the payment method 1 enter your 16digit gift card number  the 6digit gift card pin2 click confirm orderyou can apply a total of 15 gift cards per order  if your gift card value is less than the order amount youll be asked to select an additional payment method to complete the payment 
selling on flipkart,how can i become a seller and start selling products on flipkart,to become a seller on flipkart register here with your details
product reviews,are there any guidelines for writing product reviews,product reviews on flipkartcom are a great way to help other customers decide what to buy  avoidhere are some tips to writing great product reviewshave you used this product its always better to review a product you have personally usededucate your readers provide a relevant unbiased overview of the product readers are interested in the pros and the cons of the product make sure your review stands the test of time and what you write today is relevant even after yearsbe yourself be informative let your personality shine through but its equally important to provide facts to back up your opinionget your facts right nothing is worse than inaccurate information if youre not really sure research always helpsstay concise be creative but also remember to stay on topic a catchy title will always get attentioneasy to read easy on the eyes a quick edit  spell check will work wonders for your credibility also break reviews into small easy paragraphs
product reviews,what can i write in product reviews,customer reviews should be relevant to the product in question the product review section on flipkart is for you to share your opinion on the product  for other shoppers to have an informed buying decision
product reviews,whats not allowed in product reviews,customer reviews should be relevant to the product in question the product review section on flipkartcom is for you to share your opinion on the product and for other customers to research better and have an informed buying decision flipkartcom reserves the right to remove reviews that include any of the following irrelevant review review consisting of a combination of random characters random words repeated content reviews on another product service feedback including availability order or payment related queries you may use the contact us form for such queries html embedded in text references to other retailers pricing related comments personal information phone numbers postal address email address and others profane comments inflammatory comments copyrighted comments plagiarised content any content found elsewhere on the internet even if youre the original author promotional content reviews by or on behalf of a person or company with a financial interest in the product or a competitors product reviews by authors artists publishers manufacturers without disclosure reviews written for any form of compensation reviews given using fake ids irrelevant user email ids  asking for helpful votes review in any language other than english unless there is a clear connection to the product like a regional book or a regional music album feedback about errors in the product description
login  my account,can i reactivate my inactive flipkart account,yes to reactivate your flipkart account simply log in with your registered email id or mobile numberpassword combination used before deactivation your account data will be fully restored default subscription settings applied
login  my account,do i need to verify my mobile number or email address every time i log in,as the verification step is a one time process you wont have to do it again once your account is verified
login  my account,what should i do if i dont get the otp or verification code,sometimes sms messages may be delayed by a few minutes because of network issues you can regenerate the code through the resend code option
login  my account,what is an otp or verification code,an otp one time password or verification code is a passwordcode used to verify your mobile number or email id when you log into your flipkart account for the first timeotp verification will be also be done in other cases like creating an account password recovery and updating emailmobile details
login  my account,why do i need to verify my mobile number or email address to log into my flipkart account,to make sure that your account details are always secure verification by otp one time password is important this is a onetime process and you can log into your flipkart account without any hassles once this is done 
login  my account,how can i add a new delivery address to my flipkart account,to add a new delivery address follow these simple steps1 log into your flipkart account1 log into your flipkart account2 go to my account  settings  addresses3 add details of your new address 4 choose save changes
login  my account,how can i change the password for my flipkart account,to change the password for your flipkart account follow these simple steps1 log in to your flipkart account2 go to my account  settings  change password3 enter your old password4 enter your new password5 choose save changes
login  my account,how can i use a new email address to log in to my flipkart account,to log in to your flipkart account with a new email address you can update your email id with these simple steps1 log in to your flipkart account2 go to my account  settings  update emailmobile 3 add the new email id 4 enter the verification code sent to the new email id 5 choose save changesplease note once your email address is updated youll no longer be able to sign in using your old email id
login  my account,how can i deactivate my account,to deactivate your flipkart account follow these simple steps 1 log into your flipkart account2 go to my account  settings  deactivate3 enter the password for your account4 choose confirm deactivation
login  my account,how can i change the email id linked with my flipkart account,to change the email id associated with your flipkart account follow these simple steps on our website1 log in to your flipkart account2 go to my account  settings  update emailmobile3 add the new email id 4 enter the verification code sent to your old and new email ids5 choose save changes
login  my account,can i use an international number to sign up,yes you can use an international number to sign up this number can only be used for logging in and subscribing to orderrelated updates and confirmation details
login  my account,how can i use my mobile number to login on the flipkart mobile app,to log into the flipkart mobile app update your mobile number from your flipkart account on our website with these simples steps1 go to my account  settings  update emailmobile 2 add your mobile number3 enter the otp received on your registered mobile number4 select save changes
login  my account,can i use a corporate email id to sign up,yes you can use a corporate email id however please ensure that you have updated your current active email address to continue using your account in the unlikely event of your account getting deleted or deactivated
login  my account,im getting an error message that says youve exceeded the maximum number of attempts to enter correct verification code how can i log in to my flipkart account now,if a wrong code is entered for verification more than a specific number of times this error message will be seen and for security reasons your account will be blocked for the next 24 hours to log in please try again after 24 hours by entering the correct otp 
login  my account,i always login using my phone number but i recently lost my phone i have also forgotten the password to my flipkart account how do i access it,if you have forgotten the password for your account you can reset it using the forgot password option available on the home page just enter your registered email id to get an otp once you have the otp simply follow the prompts if you regain access to your phone number you can always log in using otp else if an email id is registered with your account you can click on forget password and attempt to log in in the unlikely event of these not working you can contact our customer support team for further assistance
privacy  security,how do i report a listing infringement,if you think that your ip right has been infringed by any of our sellers you can follow the below process we require that the intellectual property right owner or authorized agent provide the following details and email it to infringementflipkartcomidentification or description of the copyrighted work trademark that has been infringedclear identification or description of where the material that you claim is infringing is located on wwwflipkartcom with adequate particularsproduct id  website links of infringing products in case of copyright infringement flipkart is unable to process requests which do not specify exact product ids or urls please do not provide links to browse pages or links of search queries as these pages are dynamic and their contents change with timeyour address telephone number and email addressa statement by you that you have a good faith belief that the use of the material complained of is not authorized by the copyright or intellectual property owner its agent or the lawa statement by you that the information in your notice is accurate and that you are the copyright or intellectual property owner or authorized to act on the copyright or intellectual property owners behalf brand name in case of trademark infringementdetails of the intellectual property being infringed provide copyrighted images or trademark certificates as attachments
privacy  security,if i have found a security bugvulnerabilityissue what should i do,we take security very seriously at flipkart if you have found an issue on flipkart you can report it to securityflipkartcom with the below details1 steps to reproduce the bugissue2 your web browsermobile browsers name and version3 screenshotscreencast if any
warranty,i see that the warranty terms for my product have changed on flipkart from when i bought the product will this affect my warranty,no the warranty terms for your product will be the same as when you got the product  will not affect your warranty in any way
warranty,i lost my warranty card how can i get warranty,you can get warranty for your product even without a warranty card please use the invoice which will serve as your warranty claim at any authorized service center of the brand
warranty,how can i claim warranty for my product,you can claim the warranty for your product by using the invoice at any authorized service center of the brand
warranty,i want to check my warranty details for the product but i dont have the warranty card what should i do,please contact our customer support and we will help you with the details
warranty,there is a mismatch in warranty terms between flipkart and the brands website what will happen to the warranty on my product now,the mismatch could be because of the change in warranty terms for the product over time rest assured you will be entitled to the terms listed on the warranty card that was provided to you at the time of purchase
warranty,there is no seal on the warranty card i got how will i claim warranty,the seal on the warranty card is not mandatory for the warranty to be valid the invoice you received along with the product can be used to claim warranty for the product as it has the details of your purchase
warranty,how does warranty work on replacement products,the warranty on replacement products will be the same as the initial product delivered to you the invoice you receive with the replacement can be used to claim warranty related services
warranty,what should i do if there is a difference in the warranty mentioned on flipkart  the physical warranty card i got,the mismatch could be because of the change in warranty terms for the product over time rest assured you will be entitled to the terms listed on the warranty card that was provided to you at the time of purchase
warranty,should i register the product with the brand to avail the warranty benefits on it,no its not necessary to register the product with the brand the warranty is automatically valid from the date on the sellers invoice sent to you
warranty,i didnt get a warranty card with my product how can i get the warranty,you need not have a warranty card to claim warranty for your product please use the invoice which can be used to avail warranty at any authorised service centre of the brand
warranty,will warranty be applicable for my product since i bought it online,at flipkart all our sellers offer products from authorised vendors or brands directly and are 100 genuine rest assured products will have the applicable warranty from brands as confirmed on the product page
warranty,how do i sign up for an extended warranty for my product,you may get in touch with the brand to register for an extended warranty for your product
warranty,i dont remember the warranty details for my product where can i find it,you can check the brand website for the warranty details of your product the product invoice can be used to claim the services from any authorised service centre
warranty,from when is the warranty for my product applicable,the warranty for your product starts from the date mentioned on the sellers invoice in case of iphones the sim activation date will be considered as the date from which the warranty of your product starts 
gift cards,i didnt get the gift card i ordered for what should i do,please check your inbox and spam folder for the gift cardif you dont find the card in spite of this you can get the card details from your flipkart account to do thisvisit your ordersgo the order for the gift cardclick on resend gift card details
gift cards,my gift card has expired can you extend its validity,gift cards have a validity period of 1 year from the date of purchase and once a gift card expires its validity cannot be extended
gift cards,what does transfer gift card in my wallet do, you can use the transfer option to transfer your gift card to anyone through your flipkart app by entering their email id please note that the expiry date of the gift card does not change when you transfer it to someone and is valid for 1 year from the date of purchase
gift cards,does a gift card expire,yes all gift cards have a validity of 1 year from the date of issue and will expire after that
gift cards,is there a limit on how many gift cards i can use in a single order,you can use up to 15 gift cards to pay for a single order
gift cards,what happens to the unused balance in my gift card after it expires,the unused balance of the gift card expires along with the gift card
gift cards,ive lost my gift card pin what can i do,if youve bought the gift card from flipkart directly you can resend the gift card details to the recipient by following these simple steps1 go to my orders2 select the gift card order3 click on resend gift card and the recipient will get the gift card with a new pinif youve got the gift card as a gift you may get in touch with the original buyer and they will be able to help you out
gift cards,can i transfer partially used gift card to someone,yes you can transfer your partially used flipkart gift card as long as it hasnt expired and has some balance leftthe receiver will not be able to see any transactions made from your flipkart walletplease note that the expiry date of the gift card does not change when you transfer it to someone
gift cards,how can i unlink a gift card which is added to my wallet,to unlink your gift card transfer it to yourself by using the transfer this gift card option and enter your email id the card id and pin will be sent to you while the gift card is unlinked from your wallet it can then be added to another persons flipkart account
gift cards,how can i use a gift card, there are two ways in which you can use a gift card1 add the gift card to your flipkart wallet and link it to your account you will then be able to use it as a payment mode for your orders2 while placing your order choose gift card as the mode of payment and enter your gift card number along with its pin to pay
gift cards,what if the gift card is transferred to someone when i am expecting a refund for an order placed using the same gift card,refund for a payment made from a gift card will be added back to it please check if there are any pending refunds expected to the gift card before you transfer it to someone
gift cards,can i buy another gift card with the gift card i have,no a gift card cannot be used to buy another gift card
gift cards,can i get a new gift card for the remaining balance if my gift card has expired,no the unused balance in a gift card automatically expires with the expiry of the gift card
gift cards,can i use my gift card to buy items from different sellers in the same order,no a gift card cannot be used in a single order with different sellers to buy items from different sellers using your gift card please order separately
gift cards,do i have to pay anything extra to buy or use a gift card,no you can buy and use your gift card without paying anything extra
gift cards,what are the limits to buy gift cards,you can buy a maximum of 100 gift cards in a month with a total limit of rs 100000 one lakh purchases exceeding this limit will be automatically canceledplease refer to the gift card terms  conditions page for more details
gift cards,are there certain things on flipkart which i cannot buy through gift cards,the following cannot be bought through gift cards1 flipkart first subscription2 other gift cards 3 items from different sellers in a single order you can use gift cards by ordering separately 
gift cards,what if my order amount is lesser than the gift card value,if your order amount is lesser than the value of your gift card the balance will stay your card and you can use it to shop on flipkart
gift cards,how can i pay if the order amount is more than the value of my gift card,you can pay the remaining amount using a debitcredit card or your phonepe wallet
pickup stores,will my shipmentbe safe at the pickup store,rest assured your shipmentis safe with our trusted partners at all pickup stores
pickup stores,how will i know that my shipment has reached the pickup store,once your shipment has reached the pickup store you will be notified via email  sms a one time password otp and a route map to the location of the pickup store will also be shared with you
pickup stores,how can i collect my shipment from the pickup store,to collect your shipment from a pickup store follow these simple steps1 walk into the pickup store2 enter your otp where you are asked to do so by the store manager and show a valid photo id as soon as the verification is complete the shipment will be handed over to you note the photo ids can be pan card driving license aadhar card college id card employee id card voters id card government approved cards photo printed creditdebit card and bank passbook
pickup stores,how does the pickup store option on flipkart work,with the pickup store option you can choose to pick up your shipment from select pickup stores at your convenience all you need to do is choose the pickup store option at the time of placing your order and you can walk into the pickup location to collect your order once it reaches thereyoull also receive an email and sms once the shipment has reached the pickup store
pickup stores,how long do i have to pick up my shipment from the pickup store,you can pick up your shipment within 5 days of the order arriving at the pickup store if you are on vacation or cant pick it up within 5 days you can contact our customer support to schedule the pickup at a later datein case the shipment is not picked up within this time the store will return the item to the seller and the order will be cancelled
pickup stores,what should i do if my shipment is not at the pickup store,if you have received a confirmation message that your shipment has reached the pickup store and it is not there please contact customer support
pickup stores,what happens if im not able to pick up my shipment within 5 days from the pickup store for some reason,in case your shipment isnt collected from the pickup store within 5 days it will be returned to the seller the order will be cancelled and a full refund initiated for prepaid orders
pickup stores,what is a pickup store,a pickup store is a location near you where you can now walk into a select partner store and collect your order at your own convenience the option to choose this as a delivery option is available on our mobile app
pickup stores,is a pickup store option better than having the shipment sent directly to me,pickup stores are an option is for those who want to collect their orders at leisure it works great for those who cant receive shipments at home or offices at the specific moment the courier executive calls
pickup stores,can i drop off an item i want to return at the pickup store,pickup stores are not authorised to accept items for returns yet to return items please raise a request from the my orders section of your flipkart account and wait for more details via email and sms
pickup stores,can someone else collect an order on my behalf from a pickup store,yes someone else can collect the order for you to do this the person will have to share the otp sent to you by sms and a vaild photo id at the pickup store
pickup stores,is my shipment safe at the pickup store,yes your shipment is safe at our wellequipped and trusted pickup stores
pickup stores,what are the benefits of choosing the pickup store option for delivery,pickup stores are an option is for those who want to collect their orders at leisure it works great for those who cant receive shipments at home or offices at the specific moment the courier executive calls
pickup stores,my shipment is damaged at the self pickup store what do i do,please do not accept your shipment at the pickup store if its damaged let us know about it by contacting our customer support  well look into this for you 
pickup stores,how much time does it take for the shipment to reach a pickup store,standard delivery times apply for shipments to be delivered at pickup locations you can check the status of your order from my orders section
pickup stores,how to know if my area has self pickup service,when youre placing an order with your address choose the selfpickup option to see a list of possible stores where you can walk in  collect your shipments in case your address doesnt have any pickup stores youll get a message which says self pickup not available in your location this option is currently available only on android app at the moment
pickup stores,is there a charge for pickup of products from a pickup store,there are no charges for pickup of products from a pickup store standard delivery charges still apply
installation,what all is covered as part of standard installation,split air conditionerspartsservices covered under standard installationa copper pipe with sleeve  3mtr b power cable 3 core  3mtr c remote  1nos d remote batteriesparts not covered as part of standard installation and their respective chargesa outdoor unit stand  rs 750 b extra copper pipes  rs 750 per meter without sleeves  power cable c drain pipe extension if any per meter cost  rs 125 d wiring extension from meter to site per meter cost rs 86services not covered as part of standard installation and chargeablea stabilizer required for the installation if available with the technician f plumbing and masonry work g powerpointmcb fitting and any other electrical work h carpentry work i dismantlingshifting of old acs masonry j core cutting fabrication and electricalthe authorised service engineer will provide a detailed demo that includesa usage of the product b explain all the functionality of the product c preventive maintenance action to be takentelevisionsif wall mount is part of the sales packagethe wall mount will be provided free of cost and will be available in the product boxthe installation and demo service will be provided free of costall additional accessories not part of the the package will be charged separatelythe authorized service engineer will be providing detailed demo that includes1 physical check of all ports including power and usb ports2 checking also of accessories3 understanding your new tvs features with complete demonstration of features and settings4 quick runthrough on how to operate the tv5 preventive maintenance action to be takenif wall mount is not a part of the sales package and needs to be purchased separatelythe installation  first demo service will be provided free of cost all additional accessories not part of the the package will be charged separatelythe service engineer will install your new tv either on wall mount or on table top the wall mount is not provided free of cost and is chargeable the cost of wall mount is rs 499 inclusive of applicable taxes and will be available with service engineer for purchasethe authorised service engineer will be providing detailed demo that includes the followinga physical check of all ports including power and usb ports b checking of accessories c understanding your new tvs features with complete demonstration of features and settings d quick runthrough on how to operate the tv e preventive maintenance action to be takenwashing machine  front loadthe installation and demo service will be provided free of cost all additional accessories not part of the the package will be charged separatelythe authorised service engineer will provide detailed demo that includes the following1 usage of the product2 explain all the functionality of the product3 preventive maintenance action to be takenwashing machine  top loadthe features of the product are presented in the user manual that comes with it hence the manufacturer does not provide onsite installation or demo for the product
